koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
FALSE POSITIVE,0.631106722,131.89801,0.194,0.9942,49.2,0.63,1945,3367.19
CONFIRMED,114.336052,216.7966,0.529,14.077,239.8,2.09,429,8.02
FALSE POSITIVE,0.63938062,131.894673,1.377,1.2067,308,51.53,2566,10289.98
CANDIDATE,8.8233996,136.8921,0.022,6.735,104.6,1.13,929,176.13
FALSE POSITIVE,0.566801045,131.79795,0.628,1.7499,188.3,1.42,2348,7209.06
CONFIRMED,1.5184181,132.138,0.561,2.842,196.8,1.85,1926,3261.65
FALSE POSITIVE,0.96807117,132.44697,0.53,1.677,104.8,0.72,1487,1157.58
FALSE POSITIVE,3.55661906,133.4975,0.384,5.396,23.3,0.72,1518,1254.47
CANDIDATE,40.0691482,143.73713,1.125,2.928,784.1,13.25,458,10.42
CANDIDATE,4.02745396,133.12194,0.304,1.33,85.2,0.98,1250,577.46
CANDIDATE,4.96061094,135.32139,0.058,2.864,20.4,0.59,1272,618.99
CANDIDATE,1.4733245,132.85599,0.197,1.406,124,1.03,1576,1453.8
CONFIRMED,101.952048,206.3499,0.084,5.991,152.5,1.31,428,7.92
FALSE POSITIVE,2.41795911,132.5063,0.145,2.727,100.5,0.53,878,140.54
CANDIDATE,5.93218209,135.63378,0.097,4.507,205.3,1.39,1000,235.68
CANDIDATE,96.384483,144.86825,0.095,5.253,591,2.41,400,6.03
CANDIDATE,6.05552018,131.59851,0.19,2.818,134.6,0.92,844,119.89
CANDIDATE,54.333582,144.7536,0.823,10.545,152,1.7,513,16.37
CANDIDATE,4.11754421,132.79189,0.312,4.362,34.3,1.02,1581,1477.06
FALSE POSITIVE,2.78801663,132.5612,0.796,17.354,14,0.91,2287,6451.74
CONFIRMED,3.94660745,132.24892,0.278,2.705,309.4,1.4,981,218.91
FALSE POSITIVE,4.99473798,136.1785,0.46,3.05,99.5,0.82,917,167.06
CANDIDATE,122.749053,170.9953,0.997,8.342,1041.2,6.13,348,3.48
CANDIDATE,4.37992345,133.99121,0.728,4.949,15.5,0.81,1608,1579.65
CANDIDATE,3.70858595,134.47308,0.115,1.94,305.4,1.33,995,231.84
CANDIDATE,9.4527721,135.7805,0.746,3.817,197.3,1.3,832,113.38
CANDIDATE,4.3638313,135.33772,0.39,1.457,194.1,1.08,976,214.31
CONFIRMED,6.18943952,134.78,0.334,2.3316,83.2,0.65,783,88.79
CANDIDATE,6.83006228,135.76099,0.006,3.315,187.4,1.09,882,142.95
CANDIDATE,17.1622587,148.6441,1.201,4.668,312.2,22.42,674,48.86
CANDIDATE,5.19898615,133.05317,0.428,2.359,136.8,1.04,1035,271.21
CONFIRMED,8.70179611,138.24633,0.045,3.048,304.1,1.37,750,74.58
CANDIDATE,14.74426,135.04,1.063,8.168,113.6,8.1,784,89.04
FALSE POSITIVE,0.933747395,131.51671,0.541,4.798,30.9,1.24,2596,10738.05
CONFIRMED,6.1082945,131.8756,0.63,3.493,61.1,1.06,1267,608.39
FALSE POSITIVE,119.72007,175.8762,0.025,9.48,115.6,1.26,410,6.67
FALSE POSITIVE,1.27839331,132.0902,0.201,6.343,19.5,0.86,2853,15656.19
FALSE POSITIVE,0.58675746,131.75424,1.183,1.508,143.8,19.91,2157,5080.59
CANDIDATE,22.599501,152.9112,0.12,4.38,76.9,0.96,734,68.48
CANDIDATE,7.28171395,137.30085,0.956,1.723,111.6,2.59,1086,329.68
CANDIDATE,44.9851885,150.5703,0.664,4.164,617.8,2.09,433,8.34
CANDIDATE,5.89089509,132.43645,0.282,2.402,267.7,1.54,985,223.02
CANDIDATE,4.13029832,133.5272,0.041,2.461,325.3,1.44,995,231.52
FALSE POSITIVE,4.60690612,135.19221,0.203,4.176,137.5,0.9,950,192.38
FALSE POSITIVE,1.50178705,131.56426,0.359,2.936,86.7,0.93,1617,1619.24
FALSE POSITIVE,17.4453935,135.7609,1.254,6.39,501.7,32.01,770,83.11
CANDIDATE,201.325036,174.7724,0.597,14.4,125.4,1.98,410,6.71
CANDIDATE,5.59346375,131.50752,0.079,1.668,236.5,1.43,1008,243.63
CANDIDATE,3.44928111,133.38221,0.534,1.424,237,1.23,966,206.55
FALSE POSITIVE,1.4725859,132.92731,0.377,2.953,84.4,0.93,1662,1801.98
CANDIDATE,37.9043889,163.7386,0.473,11.638,98.2,1.97,693,54.36
FALSE POSITIVE,1.44438449,132.75645,0.466,2.704,75.4,1.08,1980,3622.28
CANDIDATE,6.88297756,134.16424,0.707,2.065,30.4,0.77,1141,400.53
CANDIDATE,2.049602348,132.32639,0.435,1.061,186.1,1.08,1203,494.57
CANDIDATE,53.285584,172.297,0.754,6.492,158.6,1.44,537,19.63
CANDIDATE,2.49915311,133.08978,0.666,1.803,179.2,1.02,983,220.65
CANDIDATE,105.997107,144.41965,0.667,3.751,430.8,1.83,373,4.59
FALSE POSITIVE,2.48882685,132.12332,0.711,3.487,80.2,1.05,1477,1124.85
CANDIDATE,6.30432354,137.29688,0.665,2.508,40,1.23,1510,1229.72
FALSE POSITIVE,0.968065631,131.97214,0.518,1.772,92.5,0.68,1487,1157.58
FALSE POSITIVE,17.6604653,137.3914,0.689,2.837,309.2,1.76,690,53.57
CANDIDATE,3.38419892,131.9355,0.176,1.485,228.2,1.2,1074,313.79
CANDIDATE,1.69999106,131.6296,0.388,3.289,95.6,0.55,934,180.38
CANDIDATE,1.19260017,132.66994,0.015,1.502,58,0.77,1726,2107.84
FALSE POSITIVE,4.2059745,132.2828,0.115,8.006,41.2,0.75,1263,601.3
FALSE POSITIVE,0.566803216,131.80982,0.424,3.325,20.2,0.54,2642,11526.75
FALSE POSITIVE,37.809539,158.4002,0.03,7.547,487.4,1.79,483,12.89
CANDIDATE,12.003678,134.71007,0.076,2.799,281.7,0.97,503,15.12
CONFIRMED,5.17624997,133.7381,0.097,5.261,78.7,1.31,1243,565.42
FALSE POSITIVE,0.589458602,131.82156,0.086,0.8278,158.4,0.98,1848,2736.51
CONFIRMED,3.91794676,132.86384,0.337,2.549,116.5,0.94,1030,266.81
CANDIDATE,4.22426989,132.3611,0.716,4.22,13.6,0.35,1069,309.32
CANDIDATE,56.3479517,163.3795,0.768,8.789,43.6,1.06,586,27.97
FALSE POSITIVE,0.934181579,132.39492,0.62,3.943,12.1,0.79,3268,26937.31
CANDIDATE,19.9778599,135.165,0.172,5.96,83.4,1.07,773,84.29
CANDIDATE,3.8183717,133.90812,0.878,2.687,50.8,1.39,1683,1894.37
FALSE POSITIVE,21.5324915,131.87749,0.5366,4.156,100.5,1.47,876,139.32
FALSE POSITIVE,3.74779583,134.2022,0.39,3.157,88.5,1.06,1324,725.94
CANDIDATE,9.07829171,138.25933,0.164,0.783,530.9,3.69,984,221.32
FALSE POSITIVE,0.91842238,131.5859,1.186,5.664,162.9,16.07,1525,1280.4
CONFIRMED,9.74048508,134.87916,0.89,1.6993,121.4,0.95,673,48.52
FALSE POSITIVE,5.35745121,131.62784,0.119,2.592,78.2,1.65,1457,1065.83
FALSE POSITIVE,2.16132662,131.90236,0.778,4.487,112.2,0.5,687,52.58
CONFIRMED,6.76289308,135.6771,0.553,6.204,50.9,1.21,1337,754.37
CANDIDATE,75.2116373,202.30222,0.058,3.203,362.6,2.83,516,16.78
CANDIDATE,6.36283414,131.8069,0.141,3.752,159.4,1.12,956,197.84
CANDIDATE,7.53737498,135.80956,0.225,3.966,41.1,0.93,1210,506.84
FALSE POSITIVE,1.09844642,132.4402,0.727,1.528,45,1.73,2921,17139.77
FALSE POSITIVE,25.94947,148.9734,0.678,15.7,238.3,1.22,508,15.74
CANDIDATE,7.57600886,135.6293,0.267,3.361,49,0.54,778,86.87
FALSE POSITIVE,1.8789138,133.06338,0.536,4.279,30.2,1.9,3330,29112.69
FALSE POSITIVE,0.514771509,131.94435,0.222,1.256,43.4,0.57,2113,4749.21
CANDIDATE,8.61742738,133.50863,0.059,2.713,154.9,1.01,733,68.28
FALSE POSITIVE,5.00749378,134.69035,0.206,2.898,56.6,1.68,1499,1192.26
CONFIRMED,196.436796,173.692,0.019,8.556,631.9,2.33,292,1.72
CANDIDATE,8.8303681,134.80059,0.746,3.426,296.2,1.32,676,49.36
CANDIDATE,12.85755895,141.85597,0.55,4.831,106.5,1.23,860,129.15
FALSE POSITIVE,0.566810643,131.80277,0.315,3.471,45.6,0.52,1976,3605.07
CANDIDATE,33.502923,158.6469,0.756,11.947,70.9,1.08,645,40.79
CANDIDATE,9.3335486,137.6177,0.725,6.643,71.2,1.69,1082,323.68
FALSE POSITIVE,2.21030572,133.57674,0.233,2.492,92,1.06,1572,1440.34
CANDIDATE,9.54060855,131.91276,0.031,1.869,462,1.75,735,69.25
FALSE POSITIVE,5.99321872,133.6359,0.02,3.92,203.2,1.23,952,194.41
CANDIDATE,1.80926734,132.6883,0.385,2.469,98,0.89,1444,1028.71
FALSE POSITIVE,0.70544189,131.6954,0.328,1.772,133.5,1.04,1960,3481.65
CANDIDATE,5.04413987,132.51986,0.727,1.623,172,1.18,862,130.09
FALSE POSITIVE,0.933728755,131.54241,0.645,4.363,13.5,0.72,2777,14057.75
CANDIDATE,5.3694084,133.8117,0.837,3.949,40,0.62,974,212.68
CANDIDATE,5.65690281,131.5761,0.014,3.583,32.2,0.74,1159,425.7
FALSE POSITIVE,0.734573766,131.59872,0.044,1.295,68.4,0.86,2061,4270.04
FALSE POSITIVE,289.86046,258.5572,0.3711,11.103,234.5,1.5,279,1.43
FALSE POSITIVE,1.332580225,132.03999,0.519,2.057,46.3,2.18,3111,22103.67
CANDIDATE,7.4299322,138.7701,0.826,4.013,164.9,1.81,1024,259.7
CANDIDATE,79.334347,144.0233,0.652,10.886,164.9,1.56,500,14.73
CANDIDATE,5.68251605,131.6745,0,3.479,81.2,1.03,1090,333.82
CANDIDATE,7.99144696,136.25855,0.94,3.639,145,1.53,901,155.95
FALSE POSITIVE,68.538296,186.21716,0.002,3.627,1087,25.77,1031,267.17
CANDIDATE,4.52628739,134.32065,0.5,3.736,99.6,1.02,1089,332.79
FALSE POSITIVE,0.643007769,131.68588,0.012,0.69,68.1,0.35,1070,311.13
CANDIDATE,0.597018404,131.71277,0.44,0.4778,245.4,1.09,1578,1473.77
CANDIDATE,4.82025124,134.81355,0.538,2.129,94.1,0.78,1018,254.2
CANDIDATE,12.4019263,141.1769,0.924,4.043,211.1,1.49,713,60.93
CANDIDATE,152.823896,147.5443,0.119,7.734,456.2,2.45,395,5.77
CANDIDATE,6.80899076,132.19078,1.9253,2.077,1192,89.29,795,94.48
FALSE POSITIVE,77.915425,160.9193,0.448,8.274,178.8,1.17,367,4.28
CANDIDATE,358.818895,416.5775,0.825,2.503,666.1,2.66,262,1.11
CANDIDATE,284.727213,142.0923,0.316,10.299,355.3,2.02,278,1.41
FALSE POSITIVE,3.74786694,134.17739,0.49,3.632,80.9,0.89,1176,451.72
CANDIDATE,30.5392931,156.7026,0.045,6.887,428.2,2.72,669,47.46
FALSE POSITIVE,0.913244995,132.18552,0.286,0.4931,47.8,0.77,1967,3541.46
FALSE POSITIVE,0.584148495,131.84461,0.584,1.6192,66.2,0.87,2130,4882.9
CANDIDATE,12.6362048,134.4588,0.174,3.961,124,1.1,774,85.06
FALSE POSITIVE,0.579770948,132.081304,0.946,1.0377,467.9,2.4,1953,3425.06
FALSE POSITIVE,0.92225589,131.8088,0.992,4.227,33,1.29,2206,5614.19
CANDIDATE,7.94004281,135.4315,0.004,3.282,81.9,0.98,1010,245.79
FALSE POSITIVE,0.75499096,131.8315,0.322,2.485,215.8,1.39,1949,3403.34
CANDIDATE,8.95294046,134.33731,0.718,2.995,44,0.86,1012,247.66
FALSE POSITIVE,1.428596987,132.79165,0.7017,2.1401,50,1.62,2637,11425.1
CANDIDATE,4.84350003,134.81488,0.906,3.045,50.2,0.9,1121,373.1
CANDIDATE,36.7614011,137.7551,0.984,15.982,160.9,1.52,475,12
CANDIDATE,4.373570433,133.82814,0.1,0.623,366,1.23,727,66.12
FALSE POSITIVE,43.0759115,160.13883,1.256,90.95,3452,213.46,1032,268.5
CANDIDATE,154.674369,177.3621,0.777,9.35,435.8,2.29,371,4.47
FALSE POSITIVE,1.02087831,131.66089,0.148,2.429,33.4,0.64,1903,3115.14
FALSE POSITIVE,1.26132769,132.4274,0.289,1.244,109.7,0.14,447,9.46
FALSE POSITIVE,1.1578141,132.43684,0.564,3.253,54.8,1.24,2133,4895.77
CANDIDATE,15.9513866,146.45425,0.197,2.285,99.2,1.17,849,123.03
FALSE POSITIVE,24.1876477,145.8464,1.8212,2.654,194.8,118.8,782,88.31
CANDIDATE,7.7859111,137.8734,0.675,7.788,45.5,0.68,939,183.92
FALSE POSITIVE,2.44926655,132.82121,0.253,2.988,108.2,0.76,1033,269.06
FALSE POSITIVE,2.17812826,132.03068,0.344,2.601,100.8,0.81,1206,500.27
FALSE POSITIVE,1.33259494,132.0286,0.104,2.783,92.7,0.89,1665,1814.46
FALSE POSITIVE,2.05048377,133.2849,0.013,3.67,60.5,0.66,1339,761.65
FALSE POSITIVE,1.19550618,132.3006,0.483,3.337,26.9,0.78,2152,5062.04
FALSE POSITIVE,0.683082998,131.73271,0.694,4.409,143.3,9.92,6757,492690.35
FALSE POSITIVE,0.791771167,131.523083,1.224,2.4463,509.2,82.71,3419,32163.04
FALSE POSITIVE,0.894172544,131.51006,0.162,0.8302,86.2,0.68,1461,1070.89
FALSE POSITIVE,1.68207624,132.12513,0.56,1.519,54.7,1.01,1980,3646.1
CANDIDATE,9.8480917,136.80247,0.127,3.079,141.9,0.88,711,60.47
FALSE POSITIVE,0.969602551,131.93121,0.415,1.728,111,0.69,1334,750.09
FALSE POSITIVE,9.25801294,132.88335,0.186,2.854,88.1,1.73,1229,539.51
FALSE POSITIVE,25.9554044,148.7989,0.952,8.491,122.7,1.46,656,43.9
FALSE POSITIVE,0.93479255,131.88578,1.2,4.5838,247.5,24.75,2040,4108.03
CANDIDATE,54.0812235,145.2689,0.182,6.279,411.1,1.54,431,8.19
FALSE POSITIVE,8.2344072,137.4733,0.812,2.808,59.2,1.49,1263,601.05
FALSE POSITIVE,3.5564279,133.5377,0.359,6.998,131.4,0.8,972,211.41
FALSE POSITIVE,0.566796775,131.83811,0.974,5.471,144.1,0.61,931,176.94
CONFIRMED,13.6471211,132.2552,0.617,8.331,75,1.25,913,164.06
CONFIRMED,16.473474,142.68604,0.014,4.201,470.5,1.63,612,33.22
FALSE POSITIVE,3.74788322,134.17324,0.544,3.45,242.6,1.32,1031,266.76
CANDIDATE,8.5291223,135.74043,0.606,3.241,325.4,2.08,911,162.94
FALSE POSITIVE,1.08906057,132.0391,0.29,2.743,76.2,0.75,1511,1235.96
FALSE POSITIVE,0.716709761,132.05103,0.986,0.6969,68.4,1.42,2394,7725.24
CANDIDATE,6.4546845,135.5436,0.93,3.071,69.9,1.38,1244,565.72
FALSE POSITIVE,1.04588635,131.9887,0.204,2.833,102.7,1.1,1972,3582.91
CANDIDATE,0.494247662,131.84441,0.366,1.2443,224.9,1.51,2257,6096.15
CANDIDATE,11.8299383,138.3039,0.502,5.168,41.4,1.6,1177,453.44
FALSE POSITIVE,1.085229874,132.10036,0.439,0.652,238.1,1.37,1632,1675.45
CANDIDATE,5.30179786,135.9927,0.357,2.24,197.2,1.22,973,211.8
CONFIRMED,3.60011712,133.25983,0.025,2.396,50.2,0.5,938,182.81
CANDIDATE,9.32867952,135.87513,0.035,1.572,354.4,1.62,806,99.6
CANDIDATE,3.5944891,132.36207,0.041,2.557,89.9,0.98,1178,455.99
FALSE POSITIVE,0.739404894,131.69907,0.077,1.753,246.8,0.94,1256,589.06
CANDIDATE,4.04481159,133.60007,0.393,2.479,33,0.67,1325,729.15
FALSE POSITIVE,1.71051215,131.65812,0.057,1.284,42.2,1.04,2004,3820.16
FALSE POSITIVE,84.8062818,192.37227,1.265,9.0006,9936,36.51,388,5.33
FALSE POSITIVE,17.99643716,134.910537,1.122,4.164,36923,30.08,468,11.31
CONFIRMED,11.63486009,140.50071,0.053,5.466,292.3,2.61,961,201.96
CANDIDATE,4.8302364,134.9522,0.316,7.983,22.5,1.06,1453,1052.42
CANDIDATE,56.446465,170.59,0.874,7.371,147.9,1.57,522,17.5
CANDIDATE,31.4202111,132.7457,0.075,4.021,390.5,1.45,471,11.6
CONFIRMED,10.8118317,137.13426,0.896,2.627,76.8,1.24,922,170.74
CANDIDATE,5.56676609,132.49956,0.392,1.812,173.8,1.12,859,128.51
FALSE POSITIVE,1.208528832,131.97963,0.039,1.336,180.8,1.25,1725,2084.15
FALSE POSITIVE,0.93198504,131.62897,1.19,2.0472,326.6,17.72,1647,1734.47
FALSE POSITIVE,0.60818508,131.62275,1.835,0.909,144.7,96.03,2298,6637.9
CANDIDATE,13.2965044,136.5669,0.902,5.68,133.4,0.88,488,13.42
CANDIDATE,21.8420304,150.82731,0.208,3.843,79.5,2.01,1016,251.46
FALSE POSITIVE,0.962825082,132.21375,0.088,2.8464,118.1,5.18,3265,26811.24
CANDIDATE,0.876850385,131.77033,0.049,1.534,59.2,1.35,2543,9858.55
FALSE POSITIVE,24.2416103,155.0323,0.069,5.137,323.4,1.61,596,29.92
CANDIDATE,20.7106368,140.89982,0.604,2.693,142.5,1.12,626,36.18
FALSE POSITIVE,69.3788597,154.19137,0.539,3.807,530.4,2.07,421,7.4
CONFIRMED,29.3493852,148.46564,0.75,4.313,659.2,2.02,451,9.81
CANDIDATE,3.43633133,132.42697,0.114,0.675,473.5,1.44,945,188.22
CANDIDATE,142.703888,212.0311,0.062,5.808,225.5,1.95,440,8.88
CANDIDATE,3.38080537,133.94842,0.067,3.275,200.9,1.69,1362,814.73
CANDIDATE,10.4716194,136.2877,0.184,4.512,123.9,1.74,1035,271.12
FALSE POSITIVE,0.708726708,132.08629,0.28,0.753,313.6,0.92,1302,684.35
CANDIDATE,6.78788113,136.3345,0.022,2.26,73.1,2.44,1679,1875.92
CANDIDATE,5.47455167,133.55529,0.931,3.71,73.2,1.4,1155,419.95
CANDIDATE,4.8754765,133.29167,0.084,1.902,39.6,0.8,1180,458.62
CONFIRMED,65.6491001,174.79319,0.038,7.298,983.9,2.52,390,5.48
CONFIRMED,25.1593389,153.0404,0.035,5.198,358.1,1.76,619,34.7
CANDIDATE,10.5071781,139.66432,0.232,2.68,271.8,1.41,737,69.76
CONFIRMED,31.7787564,136.76929,0.29,8.093,262,1.5,564,23.96
FALSE POSITIVE,1.332568744,132.04697,0.751,3.755,24.1,0.58,1941,3346.25
CANDIDATE,8.8493948,139.786,0.819,6.928,43.8,0.82,978,216.18
CANDIDATE,16.4491515,145.7441,0.866,6.696,70.9,2.75,1036,272.9
CANDIDATE,0.428046051,131.83682,0.041,0.776,126,0.87,2017,3877.26
FALSE POSITIVE,0.814278961,131.64806,0.451,2.087,72,0.76,1762,2284.94
FALSE POSITIVE,19.254536,148.0172,0.806,4.754,186,1.32,625,36.02
FALSE POSITIVE,2.42649862,133.70347,0.673,2.014,29.2,0.75,1638,1705.27
FALSE POSITIVE,19.7639874,134.17,0.489,12.319,51.3,1.19,900,155.45
CONFIRMED,7.5143967,136.1851,0.399,4.865,36.3,0.96,1199,488.52
CONFIRMED,33.1981761,142.09873,0.826,4.709,336.7,3.21,678,49.9
CONFIRMED,5.32784157,133.55005,0.116,4.696,87.2,0.86,1023,259.32
CANDIDATE,71.05457555,134.734589,0.061,1.9162,4853.2,5.91,390,5.45
CANDIDATE,20.5512722,141.087,0.946,4.639,191.2,1.64,607,32.01
CANDIDATE,7.5861587,132.7988,0.858,4.32,116.8,1.07,928,175.29
FALSE POSITIVE,1.08469871,131.7376,0.672,4.077,124,1.11,1757,2247.25
CANDIDATE,3.19938075,133.01116,0.268,1.761,76.1,0.62,1026,262.08
CANDIDATE,3.04185157,132.50422,0.176,1.434,69,0.71,1184,465.54
FALSE POSITIVE,1.23512429,132.00059,0.556,4.22,15.2,0.38,1642,1722.78
CANDIDATE,1.89873195,132.09278,0.197,1.382,78,0.93,1524,1279.95
CANDIDATE,11.39110963,137.69665,0.569,2.749,593.4,1.9,632,37.65
CONFIRMED,2.41810158,132.38894,0.016,2.144,46.8,0.85,1602,1555.96
FALSE POSITIVE,58.3437362,169.90401,1.246,22.482,1266.8,93.55,779,87.03
FALSE POSITIVE,1.070982122,131.98355,0.563,1.255,43.4,0.98,2122,4811.39
CANDIDATE,18.0939004,139.01706,0.445,3.294,467.3,1.91,665,46.21
CANDIDATE,34.9524256,163.52048,1.225,1.717,677,21.74,429,8.02
FALSE POSITIVE,23.81578356,141.84883,0.958,3.7591,4856.7,8.4,560,23.2
CONFIRMED,47.0568476,161.05864,0.027,5.2232,1531.2,2.84,411,6.72
FALSE POSITIVE,0.743495989,132.18904,1.144,2.255,172.8,11.82,1617,1612.65
FALSE POSITIVE,1.405887031,132.01147,0.364,1.184,216,0.95,1086,329.99
CANDIDATE,17.7412303,144.3554,0.065,4.816,144.7,1.14,684,51.69
CANDIDATE,2.63527677,133.97919,0.646,1.997,70.4,0.76,1136,394.32
CANDIDATE,147.388124,174.6537,0.005,8.781,909.2,3.03,356,3.78
CANDIDATE,4.11497357,135.318,0.396,3.025,154.1,1.17,1137,395.27
FALSE POSITIVE,1.54945486,132.47682,0.228,6.698,21.8,1.34,3006,19304.93
CONFIRMED,10.60052083,132.98523,0.729,4.509,60.9,1.09,987,224.28
CONFIRMED,21.8634638,145.2419,0.502,3.542,871,2.37,551,21.77
CONFIRMED,63.3354719,162.6161,0.029,3.651,983,1.18,202,0.39
FALSE POSITIVE,14.77820911,144.09725,1.258,5.395,10774,44.48,809,101.07
FALSE POSITIVE,2.4826619,133.78028,0.731,2.115,37,0.8,1619,1627.36
FALSE POSITIVE,2.17811908,132.02334,0.3437,1.468,74,0.8,1412,938.51
FALSE POSITIVE,1.11205787,132.01568,0.008,1.459,118.7,1.02,1799,2484.64
CANDIDATE,7.5019743,135.0995,0.442,2.582,248,1.19,709,59.73
CANDIDATE,29.1206519,138.4718,0.195,2.89,415.5,1.6,528,18.43
FALSE POSITIVE,1.89132292,132.6489,0.709,5.607,16,0.9,2799,14532.55
CANDIDATE,6.91261536,132.15638,0.656,2.359,34.4,0.64,981,218.66
CANDIDATE,25.8616058,140.2048,0.855,7.78,123,1.12,613,33.37
FALSE POSITIVE,0.918420801,131.58576,0.656,3.533,56.7,1.14,2374,7502.5
FALSE POSITIVE,0.573709256,131.93854,0.69,1.4932,131.2,7.05,4415,90258.45
CANDIDATE,13.8353959,134.3082,0.94,4.961,818,3.78,809,101.05
FALSE POSITIVE,46.9434911,176.32544,0.213,1.368,100.7,1.57,669,47.27
CANDIDATE,2.131660527,133.13431,0.036,1.8585,32.2,0.56,1438,1010.45
CANDIDATE,5.75902182,132.16301,0.329,2.687,70.8,0.91,1112,362.12
FALSE POSITIVE,0.9628348,132.1907,0.309,2.259,92.8,0.81,1648,1734.83
CANDIDATE,5.66494448,136.33835,0.4638,4.173,46,0.78,1134,390.59
FALSE POSITIVE,0.566798364,131.81891,0.487,3.172,38.6,0.66,2272,6280.34
FALSE POSITIVE,3.22452656,132.50118,0.0995,5.156,57.5,24.48,4883,134353.84
FALSE POSITIVE,1.89127438,132.68059,0.514,4.491,32.3,2.03,3342,29488.85
FALSE POSITIVE,1.33256944,132.05502,0.456,3.89,20.6,0.46,1624,1636.72
CONFIRMED,66.6504521,171.18229,0.433,5.744,536.9,1.56,308,2.14
FALSE POSITIVE,55.7002642,152.6957,0.2976,4.285,332.7,1.18,309,2.14
FALSE POSITIVE,10.88241656,132.677164,1.199,5.4674,16630,29.69,632,37.81
FALSE POSITIVE,25.19830439,142.2240343,1.069,5.1942,73834,46.14,604,31.54
CANDIDATE,5.2736268,135.6461,0.595,5.291,86.1,0.89,1014,249.68
CANDIDATE,24.5041103,140.1805,0.178,6.065,119.5,1.03,574,25.59
FALSE POSITIVE,1.316398648,132.2998,0.392,1.169,182.5,1.09,1374,842.93
FALSE POSITIVE,14.2005007,135.7279,1.106,5.232,80.6,13.28,843,119.41
FALSE POSITIVE,5.5834987,132.562,0.7862,2.484,87.4,1.41,1317,711.41
FALSE POSITIVE,1.21374652,131.735,0.57,3.371,28.9,0.59,1880,2945.61
CONFIRMED,5.24970432,135.46911,0.248,2.746,61.9,0.67,954,195.3
CONFIRMED,56.6746666,160.44836,0.626,5.516,883.1,4.01,522,17.59
FALSE POSITIVE,63.9005941,189.47344,1.194,8.2789,17097,25.91,353,3.68
CANDIDATE,12.6878176,136.1525,0.921,4.262,293,2.16,851,123.89
CANDIDATE,483.36405,483.0784,0.614,15.61,285.4,1.27,202,0.39
CONFIRMED,16.2951259,144.80425,0.494,3.678,197.9,1.15,574,25.59
FALSE POSITIVE,18.17304501,355.230984,0.674,10.9113,69911,24.39,650,42.19
FALSE POSITIVE,14.12678065,137.90377,1.254,5.9303,7647.4,31.13,670,47.56
CANDIDATE,12.0729757,142.429,0.312,3.783,99.5,1.69,969,208.13
FALSE POSITIVE,1.337561836,132.14597,0.055,1.575,41,1.11,2322,6870.94
CANDIDATE,82.401274,140.6557,0.703,6.48,430.7,2.21,421,7.42
CANDIDATE,11.91256675,143.15988,0.174,6.126,123.1,2.61,1242,562.27
CANDIDATE,4.08197713,132.10953,0.328,2.943,26.2,0.6,1372,836.88
FALSE POSITIVE,0.566805268,131.8224,0.069,3.721,35.7,0.65,2492,9052.02
CONFIRMED,12.27057043,137.57434,0.026,3.002,295.5,1.67,811,102.25
CONFIRMED,13.2274753,137.71768,0.803,6.356,229.8,1.94,867,133.34
CANDIDATE,76.87935893,146.882451,0.864,2.3819,21272,7.71,202,0.4
FALSE POSITIVE,0.559517155,132.07411,0.328,0.596,57.9,1.04,2762,13839.66
FALSE POSITIVE,0.580725004,131.73303,0.137,2.071,105.2,0.85,1939,3355.68
CANDIDATE,7.28116667,132.7518,0.1,2.716,333.8,1.4,744,72.16
CANDIDATE,2.87998334,131.48485,0.22,1.658,116.5,0.85,1024,260.79
CONFIRMED,4.36125889,132.53228,0.374,2.174,189.2,1.2,1000,236.01
CANDIDATE,21.08678557,135.5636,0.702,0.978,499.6,2.08,651,42.44
FALSE POSITIVE,1.19087362,131.71838,0.393,1.785,67.5,0.73,1489,1165.78
FALSE POSITIVE,1.06484622,131.5817,0.242,3.287,42.4,0.72,2034,4059.63
CANDIDATE,5.19206571,134.5614,0.847,3.716,66.6,0.99,1170,442.55
CANDIDATE,449.01499,144.707,0.2182,12.58,94.2,1.04,258,1.04
FALSE POSITIVE,8.480305,135.8796,0.766,6.19,304.2,1.33,661,45.21
CONFIRMED,54.5091549,140.82739,0.94,5.125,622.2,1.94,308,2.13
CANDIDATE,14.1959621,137.01221,0.786,3.605,196.2,1.66,818,105.7
CANDIDATE,11.52482874,134.08163,1.205,1.724,577.6,22.56,756,77.15
FALSE POSITIVE,46.84008579,164.134422,4.652,3.8198,6287.9,428.62,552,22
CANDIDATE,6.70242786,133.17733,0.369,1.221,65.3,1.82,1367,827.56
FALSE POSITIVE,0.992798625,131.70889,1.219,3.5065,582.5,29.26,1967,3519.47
CANDIDATE,7.79534033,138.03216,0.282,3.406,102.1,1.07,985,222.52
CANDIDATE,115.238544,155.5989,0.965,7.653,516.7,3.17,372,4.52
FALSE POSITIVE,0.77957913,131.7173,0.183,2.457,70.4,0.71,1819,2585.39
FALSE POSITIVE,0.544561598,131.94532,0.214,1.6053,35.2,44.9,11804,4601339.96
CANDIDATE,5.6795377,132.95,0.196,3.757,52,1.16,1420,961.1
FALSE POSITIVE,1.97515457,132.6578,0.027,2.633,66.1,0.92,1504,1207
FALSE POSITIVE,21.993112,131.68608,1.249,8.616,1015.7,23.21,523,17.75
CANDIDATE,19.5489666,149.78882,0.83,1.78,523.8,1.89,579,26.62
